,block,F1,F2,F3
GPQA Diamond,Academic,-0.01524369821558765,0.9749631220759402,0.0349474316627382
HLE,Academic,0.3499034382475541,0.3033870760178228,0.42579093002095375
AA-Omniscience,Academic,0.563921613134425,0.17993907080981922,0.2043247125502421
τ²-Bench,Economic,0.708183848581429,0.24841371017823244,-0.13227049186430195
IFBench,Instruction-following,-0.04887727408377018,0.8950083811489185,-0.0084490301157494
AA-LCR,Long-context,0.2699134677328548,0.7343088802720392,-0.08656302431118848
SciCode,Scientific-coding,0.10953511354370689,0.694371597909885,0.22793561898992964
CritPt,Scientific-coding,0.03914246096810346,0.030070046292799444,0.9532724023525442
Terminal-Bench Hard,Scientific-coding,0.8148206173654974,0.10806572488511616,0.09814175578160625
GDPval (Elo),Economic,0.8715058343453504,0.12051766520445945,-0.028701528578070075
Terminal-Bench v2.1,Economic,1.0459614144190577,-0.12071686633152612,0.03848861609846632
τ³-Banking,Economic,0.5746215377531682,0.05661444325993571,0.3623351656520937
