,F1,F2,F3,block
GPQA Diamond,0.006292889749230762,0.9525932725966402,0.041432005544797985,Academic
HLE,0.31917787995424407,0.28081571095261376,0.4925193448483785,Academic
AA-Omniscience,0.6889697712033751,0.12498908369746256,0.13701707021859533,Academic
τ²-Bench,0.49908543311334774,0.3052834886514429,-0.12659545348151113,Economic
IFBench,-0.12938926618690386,0.8573755925893788,0.018743062355004062,Instruction-following
AA-LCR,0.3440134808899154,0.6712755634622368,-0.12447187684085223,Long-context
SciCode,0.2622481811194598,0.6072268161804211,0.1971066634899983,Scientific-coding
CritPt,0.01527416557536723,-0.0027845488538447987,0.9882073849276088,Scientific-coding
Terminal-Bench Hard,0.8178285999287804,0.10281279950273027,0.09878548046030959,Scientific-coding
GDPval (Elo),0.8418047780279648,0.13360936907645066,-0.04434143719245675,Economic
Terminal-Bench v2.1,1.0063036698992756,-0.11785865166160603,0.033704644543290994,Economic
τ³-Banking,0.5419766323637164,0.0399316295693492,0.3825960926347491,Economic
