target,rung,learner,selected_hyperparameters,modal_count
gpqa,i_date,ridge,"{""alpha"": 1}",3/5
gpqa,i_date,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
gpqa,i_date,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",3/5
gpqa,i_date,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
gpqa,ii_meanidx,ridge,"{""alpha"": 1}",3/5
gpqa,ii_meanidx,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
gpqa,ii_meanidx,rf,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 300}",3/5
gpqa,ii_meanidx,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
gpqa,iii_f1,ridge,"{""alpha"": 30}",5/5
gpqa,iii_f1,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.2}",3/5
gpqa,iii_f1,rf,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 300}",3/5
gpqa,iii_f1,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
gpqa,iv_kfac,ridge,"{""alpha"": 0.03}",2/5
gpqa,iv_kfac,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
gpqa,iv_kfac,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",4/5
gpqa,iv_kfac,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",3/5
gpqa,v_kfac_cov,ridge,"{""alpha"": 1}",4/5
gpqa,v_kfac_cov,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
gpqa,v_kfac_cov,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",3/5
gpqa,v_kfac_cov,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",4/5
hle,i_date,ridge,"{""alpha"": 3}",5/5
hle,i_date,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
hle,i_date,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",4/5
hle,i_date,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
hle,ii_meanidx,ridge,"{""alpha"": 0.03}",3/5
hle,ii_meanidx,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
hle,ii_meanidx,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",4/5
hle,ii_meanidx,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
hle,iii_f1,ridge,"{""alpha"": 30}",3/5
hle,iii_f1,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",3/5
hle,iii_f1,rf,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 300}",3/5
hle,iii_f1,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
hle,iv_kfac,ridge,"{""alpha"": 0.03}",3/5
hle,iv_kfac,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
hle,iv_kfac,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",5/5
hle,iv_kfac,gbm,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",4/5
hle,v_kfac_cov,ridge,"{""alpha"": 1}",5/5
hle,v_kfac_cov,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",4/5
hle,v_kfac_cov,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",4/5
hle,v_kfac_cov,gbm,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",3/5
omniscience,i_date,ridge,"{""alpha"": 10}",4/5
omniscience,i_date,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.2}",5/5
omniscience,i_date,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",3/5
omniscience,i_date,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
omniscience,ii_meanidx,ridge,"{""alpha"": 1}",3/5
omniscience,ii_meanidx,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
omniscience,ii_meanidx,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",3/5
omniscience,ii_meanidx,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
omniscience,iii_f1,ridge,"{""alpha"": 30}",4/5
