target,block,rung,learner,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,test_mse
gpqa,Academic,i_date,ridge,0.8022428117133407,0.8173720256373548,0.580366010696274,0.5929712237950336,0.3564064710542735,0.34793669551225626,0.6680970282945126
gpqa,Academic,i_date,elasticnet,0.802465570093224,0.8177466211041722,0.5837117514508402,0.5961159404827076,0.35604900881495705,0.3473388871177211,0.6687095363272905
gpqa,Academic,i_date,rf,0.5642192778255676,0.7989578495513991,0.41219192000008986,0.5528727411689925,0.6816566065299949,0.3769857842032929,0.6383336453597962
gpqa,Academic,i_date,gbm,0.40154031803931606,0.7841744432779143,0.30971887413426386,0.5287728568737642,0.8387653729888849,0.39982819515325674,0.6149295574902268
gpqa,Academic,ii_meanidx,ridge,0.4668326138018673,0.47405974980437987,0.3690202620229382,0.37567702508497075,0.7820673106909166,0.7806607336633535,0.22473264638459123
gpqa,Academic,ii_meanidx,elasticnet,0.467101021961072,0.47537154832625766,0.36876561487545967,0.3754213303405976,0.7818166352829221,0.7794451610640061,0.22597810895810355
gpqa,Academic,ii_meanidx,rf,0.2326703897221255,0.37838249007170344,0.17207288307187416,0.27383795277923106,0.9458644897465542,0.8602627209939275,0.14317330879286275
gpqa,Academic,ii_meanidx,gbm,0.15417307921978143,0.3912524946309277,0.11892299061255866,0.2838400700463559,0.976230661643891,0.8505952312023196,0.15307851455492413
gpqa,Academic,iii_f1,ridge,0.9847382640064113,1.0009253067387942,0.8058807564145699,0.8026448136683361,0.0302905514016395,0.02219205855972861,1.0018514696701493
gpqa,Academic,iii_f1,elasticnet,0.9847397561379121,1.0010109570405061,0.8059515579840846,0.8017653158802295,0.03028761268144553,0.022024707154168266,1.0020229361151498
gpqa,Academic,iii_f1,rf,0.6863335131260151,1.032695265694693,0.5391966560172918,0.7697713888418978,0.5289463087601021,-0.04086544904144174,1.0664595117882325
gpqa,Academic,iii_f1,gbm,0.4901908519851887,1.0442075708852174,0.38149072385199795,0.7708924990600892,0.7597129286300348,-0.06420157145112193,1.0903694510940063
gpqa,Academic,iv_kfac,ridge,0.35572006312810256,0.39124049964185714,0.253108624648618,0.2838844285990169,0.8734632366881387,0.8506043919418536,0.15306912856001
gpqa,Academic,iv_kfac,elasticnet,0.3610427762062384,0.395534465794824,0.25649712015742687,0.2901884522776891,0.8696481137492921,0.84730708505331,0.15644751363159679
gpqa,Academic,iv_kfac,rf,0.2529754658084012,0.6816439187794846,0.182241686639402,0.4956967974056927,0.9360034136990224,0.5465124696913501,0.46463843200905264
gpqa,Academic,iv_kfac,gbm,0.16090504530120142,0.6049445495330701,0.11985254925983073,0.42417957318118815,0.9741095663966183,0.642824750456637,0.3659579080097691
gpqa,Academic,v_kfac_cov,ridge,0.2973194748506661,0.3203761239321061,0.2095888196643453,0.22889423320513191,0.9116011298745241,0.8998224269455578,0.10264086078576022
gpqa,Academic,v_kfac_cov,elasticnet,0.301514334149228,0.3248269756770838,0.2135688137086118,0.23397627530696674,0.9090891063025477,0.897019641884057,0.10551256412752079
gpqa,Academic,v_kfac_cov,rf,0.20038912253301808,0.5011286231520174,0.15303428755506318,0.37359533224739366,0.9598441995704471,0.7548969932199198,0.2511298969422367
gpqa,Academic,v_kfac_cov,gbm,0.13098256747388243,0.4346171870804986,0.09207009838926565,0.32298758128625926,0.9828435670179498,0.8156411400610987,0.18889209930576514
hle,Academic,i_date,ridge,0.7882791619447516,0.7968533133508628,0.6485080543668538,0.655302185799116,0.37861596284368015,0.37198183831353204,0.6349752029982484
hle,Academic,i_date,elasticnet,0.7882005553590233,0.7968192000877921,0.6483476896125867,0.6552283743252229,0.37873988453172713,0.3720356080345809,0.6349208376285488
hle,Academic,i_date,rf,0.5498749661479638,0.7437748679487011,0.4036632107045514,0.5289248920169068,0.6976375216037756,0.45286003696477894,0.5532010541921077
hle,Academic,i_date,gbm,0.43599071799446243,0.7937317715123559,0.32300229045130796,0.5719555850034567,0.8099120938226732,0.37689251683208036,0.6300101251081427
hle,Academic,ii_meanidx,ridge,0.3561267252872785,0.36059501929418325,0.27753797409351694,0.28140024011244896,0.8731737555361592,0.8713958790480241,0.1300287679397724
hle,Academic,ii_meanidx,elasticnet,0.35778261317631066,0.3618436091095049,0.2794119445296107,0.2828102083398536,0.8719916017087305,0.8705037325291434,0.13093079745339217
hle,Academic,ii_meanidx,rf,0.19785775050700616,0.2868292603967203,0.14102218683180148,0.20522581234830875,0.9608523105643073,0.9186303695045439,0.08227102461972959
hle,Academic,ii_meanidx,gbm,0.12506922715832483,0.3227997086670925,0.08905280574688401,0.2272808427844751,0.9843576884180193,0.8969420009862019,0.10419965191555981
hle,Academic,iii_f1,ridge,0.8982016601209554,0.9084591491926943,0.7668025833823497,0.7756520844965863,0.19323377775595962,0.18374426823464773,0.825298025751914
