factor,observed_eigenvalue,random_95th_percentile
1,9.525393366219333,1.7915213579310754
2,0.9120441628750315,1.5684251662887283
3,0.4216118000879516,1.4106445258337958
4,0.33024051564871015,1.2831538894279735
5,0.2186098653771862,1.177922271870778
6,0.14831914179602015,1.08038185713467
7,0.12611187261475676,0.9909761324405975
8,0.10125585245529233,0.9090448946151647
9,0.06907790409557214,0.825640468473492
10,0.06464537300908436,0.7449263973230377
11,0.04447881925628864,0.6615946860373655
12,0.03821132656477559,0.5744301138113878
