model,observed_z,predicted_z,residual
Gemini 3.1 Pro Preview,0.3938967377638672,1.399202878688863,-1.005306140924996
Llama 4 Maverick,-1.7092268670225825,-0.8637284135184972,-0.8454984535040854
Gemma 3 27B Instruct,-2.0871357477955916,-1.281946809273892,-0.8051889385216997
Qwen3.7 Plus,0.3374692950189061,1.0345550639523144,-0.6970857689334083
Gemma 3 12B Instruct,-2.086654652731445,-1.4745667325987821,-0.612087920132663
Mistral Small 3.2,-1.6175050627860543,-1.0300098332654308,-0.5874952295206235
Llama 3.1 Instruct 8B,-2.0387855126994907,-1.4522460394436374,-0.5865394732558533
MiniCPM-V 4.6 1.3B,-1.913320815439464,-1.3379179447161427,-0.5754028707233214
DeepSeek V3 0324,-1.000189263678012,-0.6003203410608846,-0.3998689226171275
Llama 3.3 Instruct 70B,-1.5825651386037907,-1.1957878795337917,-0.38677725906999894
Llama 4 Scout,-1.5540016138061585,-1.1796776323761629,-0.3743239814299957
Qwen3.5 397B A17B (Reasoning),0.368990236496156,0.7313782417949659,-0.36238800529880993
GPT-4.1 nano,-1.6569192676506268,-1.3135364672030403,-0.3433828004475865
Gemma 4 31B (Reasoning),0.06934799760710378,0.40223447071502666,-0.33288647310792285
Gemini 2.5 Pro,-0.23401438734940155,0.08278875126242931,-0.31680313861183085
Qwen3 Next 80B A3B (Reasoning),-0.9257266846940203,-0.6097214074889509,-0.31600527720506943
NVIDIA Nemotron 3 Super 120B A12B (Reasoning),-0.2219836882937858,0.0838153342747272,-0.305799022568513
GPT-5.1 (high),0.509225443550658,0.7946901041152291,-0.2854646605645711
Muse Spark,0.7824746903523735,1.0464637224736284,-0.2639890321212549
Qwen3.5 9B (Reasoning),-0.2804075920596916,-0.016536864638464936,-0.2638707274212267
Gemini 3.1 Flash-Lite,-0.2997474045288922,-0.037389205018490024,-0.2623581995104022
Magistral Medium 1.2,-0.812964372455494,-0.5551181675765741,-0.25784620487891996
DeepSeek V3 (Dec '24),-1.2636567921645097,-1.026795089900941,-0.23686170226356862
Qwen3 14B (Reasoning),-1.2480737483455102,-1.018417740098676,-0.2296560082468342
GPT-5.5 (low),0.9683100200688909,1.1624002097226085,-0.1940901896537176
Qwen3.6 Plus,0.7500757816609117,0.9319459043476308,-0.1818701226867191
Nova 2.0 Pro Preview (medium),-0.222752827244516,-0.04154275145140873,-0.18121007579310727
GPT-5.5 (medium),1.3279396339904321,1.4956498557828222,-0.16771022179239004
Magistral Small 1.2,-1.1897274687366661,-1.027080948014115,-0.16264652072255115
Qwen3 30B A3B 2507 (Reasoning),-0.996869163670037,-0.8620126685806598,-0.13485649508937714
GPT-5.4 mini (xhigh),0.8952595335958701,1.0260542191238844,-0.13079468552801432
GPT-5.5 (xhigh),1.525514154504204,1.642497061457964,-0.11698290695376001
K2 Think V2,-0.8817513003938378,-0.7739086925427155,-0.10784260785112221
Qwen3.7 Max,1.0548263765315415,1.1517777608268798,-0.09695138429533823
Command A+,-0.13994778476134578,-0.04854195133102647,-0.09140583343031931
Kimi K2.6,0.9711449954697791,1.0555389896879783,-0.08439399421819926
GPT-5.4 (xhigh),1.3179833706987405,1.393157069236079,-0.07517369853733857
NVIDIA Nemotron 3 Nano 30B A3B (Reasoning),-0.6146882895667005,-0.5468153539257334,-0.06787293564096708
Qwen3 235B A22B 2507 (Reasoning),-0.5151007792949708,-0.4552608659582471,-0.05983991333672367
Grok 4.3 (high),0.7081285727277736,0.7586683007513265,-0.05053972802355289
GPT-5.4 nano (xhigh),0.7655072197909524,0.7933580129663343,-0.02785079317538197
Claude 4.5 Sonnet (Reasoning),0.581249485729765,0.6049256521662999,-0.023676166436534918
GPT-5.5 (high),1.541427637750673,1.563728039760216,-0.022300402009542974
Nova 2.0 Pro Preview (low),-0.2929923065869915,-0.27135833920202196,-0.021633967384969532
Kimi K2.7 Code,0.9621637933997657,0.9755794867247303,-0.013415693324964617
Nova 2.0 Lite (high),-0.4553312078749993,-0.4518997485001151,-0.003431459374884205
Mistral Small 4 (Reasoning),-0.4060406946752981,-0.40931777140859765,0.0032770767332995776
Ring-2.6-1T,0.30173333524424617,0.2788724357046416,0.022860899539604573
Qwen3 8B (Reasoning),-1.313652038340565,-1.3532719078423203,0.039619869501755334
Qwen3 32B (Reasoning),-1.1431968362972789,-1.1878977548143097,0.04470091851703084
Mistral Medium 3.5,0.3528476881726432,0.2980537785315415,0.0547939096411017
"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",1.3430957188790253,1.2872094036302308,0.055886315248794505
MiniMax-M2.7,0.8147585180557785,0.7554774570707995,0.059281060984978984
GPT-5 mini (high),0.376689028138886,0.3173412947304797,0.05934773340840632
Qwen3.5 122B A10B (Reasoning),0.474248182013455,0.41172307946780384,0.06252510254565113
Claude 4 Sonnet (Reasoning),0.21191590330871007,0.13552601222196803,0.07638989108674205
Granite 4.1 3B,-1.5186958327841338,-1.597103862365958,0.07840802958182413
Solar Pro 3,-0.6226709193918603,-0.7088379394801526,0.08616702008829236
Nova 2.0 Pro Preview (Non-reasoning),-0.48503444924564726,-0.5801706607869686,0.09513621154132129
o3-mini (high),-0.6485614878850464,-0.7515012423802546,0.1029397544952082
Step 3.7 Flash,0.5570855227727431,0.44869584830169407,0.10838967447104908
gpt-oss-120b (high),0.05559068596104349,-0.067831632204714,0.1234223181657575
"DeepSeek V4 Flash (Reasoning, Max Effort)",0.9362612758339647,0.8053270709678597,0.13093420486610496
"DeepSeek V4 Pro (Reasoning, Max Effort)",1.1276915563577525,0.9933488824940405,0.13434267386371201
DeepSeek R1 (Jan '25),-0.5507378391366324,-0.7124337419870742,0.16169590285044178
MiMo-V2.5-Pro,1.0988395599796201,0.9276115488341131,0.171228011145507
GPT-5 (high),0.6823702019862145,0.502538885803895,0.1798313161823194
Claude 4.5 Haiku (Reasoning),0.24839934589428686,0.06684867532193176,0.1815506705723551
GPT-5.5 (Non-reasoning),0.7832871754684435,0.5812701399311588,0.20201703553728467
